STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,STATION,,,,,,,,,,,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/1/2016,2.35,",,7,0700",82,",,7",73,",,7",76,",,7,0700",513117,,,,,,,,,,,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/2/2016,0.2,",,7,0700",84,",,7",75,",,7",75,",,7,0700",513117,,,count:,165,365,305,349,238,365,362,340
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/3/2016,0.02,",,7,0700",85,",,7",74,",,7",76,",,7,0700",513117,,,sum:,10.08,54.39,34.31,157.91,9.39,79.49,17.18,39.8
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/4/2016,0.62,",,7,0700",86,",,7",74,",,7",76,",,7,0700",513117,,,,,,,,,,,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/5/2016,0.03,",,7,0700",84,",,7",76,",,7",78,",,7,0700",513117,,,,511918,513117,514830,516128,517948,519281,519397,519523
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/6/2016,0.07,",,7,0700",85,",,7",75,",,7",76,",,7,0700",513117,,,8/1/2016,0,2.35,0,2.21,0.85,3.53,0.08,0.54
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/7/2016,0.3,",,7,0700",84,",,7",76,",,7",77,",,7,0700",513117,,,8/2/2016,0,0.2,0.55,1.14,0,0.83,0.05,0.07
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/8/2016,0.33,",,7,0700",89,",,7",76,",,7",78,",,7,0700",513117,,,8/3/2016,,0.02,0,0,0.02,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/9/2016,0,",,7,0700",86,",,7",77,",,7",77,",,7,0700",513117,,,8/4/2016,,0.62,0.16,0,0.13,0.77,0.04,0.25
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/10/2016,0,",,7,0700",85,",,7",74,",,7",78,",,7,0700",513117,,,8/5/2016,,0.03,,0,0.03,0.27,0.01,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/11/2016,0.04,",,7,0700",84,",,7",74,",,7",77,",,7,0700",513117,,,8/6/2016,,0.07,0,0,,0.14,0,0.04
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/12/2016,0.05,",,7,0700",85,",,7",75,",,7",76,",,7,0700",513117,,,8/7/2016,,0.3,0.48,1.3,,0.47,0.39,0.4
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/13/2016,0,",,7,0700",85,",,7",75,",,7",77,",,7,0700",513117,,,8/8/2016,,0.33,0.01,0.02,0,0.28,0.02,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/14/2016,0.17,",,7,0700",85,",,7",75,",,7",77,",,7,0700",513117,,,8/9/2016,0,0,0,0.56,0,0.02,0,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/15/2016,0.17,",,7,0700",84,",,7",75,",,7",77,",,7,0700",513117,,,8/10/2016,,0,0,0,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/16/2016,0.1,",,7,0700",85,",,7",75,",,7",77,",,7,0700",513117,,,8/11/2016,0,0.04,0,0.04,0,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/17/2016,0,",,7,0700",85,",,7",72,",,7",73,",,7,0700",513117,,,8/12/2016,0,0.05,0.12,0.39,0,0.02,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/18/2016,0,",,7,0700",84,",,7",72,",,7",78,",,7,0700",513117,,,8/13/2016,,0,0,0.45,,0.08,0,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/19/2016,0.14,",,7,0700",84,",,7",75,",,7",77,",,7,0700",513117,,,8/14/2016,,0.17,,0.75,,0.1,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/20/2016,0.03,",,7,0700",84,",,7",74,",,7",79,",,7,0700",513117,,,8/15/2016,0,0.17,0,0.95,0,0.23,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/21/2016,0.32,",,7,0700",85,",,7",75,",,7",76,",,7,0700",513117,,,8/16/2016,0,0.1,0.02,0.85,0,0.12,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/22/2016,0.94,",,7,0700",80,",,7",74,",,7",76,",,7,0700",513117,,,8/17/2016,0,0,0,0.3,0,0.31,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/23/2016,0.15,",,7,0700",81,",,7",75,",,7",76,",,7,0700",513117,,,8/18/2016,0,0,0.01,0.21,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/24/2016,2.15,",,7,0700",83,",,7",76,",,7",76,",,7,0700",513117,,,8/19/2016,0,0.14,0.07,2.3,0,0.31,0.04,0
