STATION,STATION ID,IMPERIAL,METRIC
"AIEA 0.7 ENE, HI US",GHCND:US1HIHN0014,0,0
"AIEA HEIGHTS 764.6, HI US",GHCND:USC00510123,0,0
"ANAHOLA 2.8 N, HI US",GHCND:US1HIKI0021,0,0
"BERETANIA PUMP STATION 705, HI US",GHCND:USC00510211,0,0
"CAMP ERDMAN 841.16, HI US",GHCND:USC00510305,0,0
"CAMPBELL IN PK 702.5, HI US",GHCND:USC00510248,0,0
"CAPTAIN COOK 2.9 SSE, HI US",GHCND:US1HIHI0019,0,0
"CAPTAIN COOK 3.4 SSE, HI US",GHCND:US1HIHI0045,0,0
"COCONUT ISLAND 840.1, HI US",GHCND:USC00510350,0,0
"EWA KALAELOA AIRPORT, HI US",GHCND:USW00022551,0,0
"HAIKU 3.2 SE, HI US",GHCND:US1HIMI0001,3.96,100.6
"HALEAKALA RANGER STATION 338, HI US",GHCND:USC00511004,1.04,26.4
"HALEPOHAKU 111, HI US",GHCND:USC00511065,0,0
"HANALEI 3.0 W, HI US",GHCND:US1HIKI0024,0.11,2.8
"HAWAIIAN OCEAN VIEW 4.7 NNE, HI US",GHCND:US1HIHI0035,0,0
"HILO 0.4 SW, HI US",GHCND:US1HIHI0039,0.1,2.5
"HILO 1.0 ENE, HI US",GHCND:US1HIHI0016,0.07,1.8
"HILO 5 S, HI US",GHCND:USW00021515,1.18,30
"HILO INTERNATIONAL AIRPORT 87, HI US",GHCND:USW00021504,0.76,19.3
"HONAUNAU 27, HI US",GHCND:USC00511665,0,0
"HONOKAA 2.5 SSW, HI US",GHCND:US1HIHI0033,1.98,50.3
"HONOKAA 2.7 ESE, HI US",GHCND:US1HIHI0034,3.53,89.7
"HONOKAA TOWN 215, HI US",GHCND:USC00511856,4.65,117.9
"HONOKOHAU HARBOR 68.14, HI US",GHCND:USC00511880,0,0
"HONOLULU 2.0 SW, HI US",GHCND:US1HIHN0023,0,0
"HONOLULU 2.7 SSE, HI US",GHCND:US1HIHN0010,0,0
"HONOLULU FIRE STATION 703.1, HI US",GHCND:USC00511925,0,0
"HONOLULU INTERNATIONAL AIRPORT, HI US",GHCND:USW00022521,0,0
"HONOMU 2.8 SW, HI US",GHCND:US1HIHI0014,0.39,9.9
"KAHULUI AIRPORT, HI US",GHCND:USW00022516,0.06,1.5
"KAHUNA FALLS 138.2, HI US",GHCND:USC00512595,1.05,26.7
"KAILUA 2.2 SSE, HI US",GHCND:US1HIHN0022,0.03,0.8
"KAILUA KONA KE AHOLE AIRPORT, HI US",GHCND:USW00021510,0,0
"KAIWIKI HOMESTEAD 89.11, HI US",GHCND:USC00512802,0.23,5.8
"KALAHEO 1.1 SSE, HI US",GHCND:US1HIKI0018,0,0
"KALAHEO 1.3 SE, HI US",GHCND:US1HIKI0014,0,0
"KALAOA 1.7 E, HI US",GHCND:US1HIHI0006,0,0
"KALIHI RES SITE 777, HI US",GHCND:USC00512960,0,0
"KALOPA 216.8, HI US",GHCND:USC00512982,1.35,34.3
"KANEOHE 3.9 NW, HI US",GHCND:US1HIHN0011,0.02,0.5
"KANEOHE 838.1, HI US",GHCND:USC00513117,0.29,7.4
"KANEOHE BAY MCAS, HI US",GHCND:USW00022519,0,0
"KAPAA 1.4 SSW, HI US",GHCND:US1HIKI0012,0.1,2.5
"KAPAA 1.4 W, HI US",GHCND:US1HIKI0005,0.03,0.8
"KAPAA 1.9 WSW, HI US",GHCND:US1HIKI0019,0.02,0.5
"KAPAA 2.3 SW, HI US",GHCND:US1HIKI0025,0.03,0.8
"KAPAKA FARM 904.1, HI US",GHCND:USC00513208,0,0
"KAPALUA W. MAUI AIRPORT 462.4, HI US",GHCND:USC00513317,0.5,12.7
"KAPAPALA RANCH 36, HI US",GHCND:USC00513300,0,0
"KAPOHO BEACH 93.11, HI US",GHCND:USC00513368,0.12,3
"KAPUA 2.36, HI US",GHCND:USC00513376,0,0
"KAUNAKAKAI 3.5 ESE, HI US",GHCND:US1HIMI0002,0.06,1.5
"KAUNAKAKAI 536, HI US",GHCND:USC00513541,0,0
"KEALAKEKUA 4 74.8, HI US",GHCND:USC00513987,0,0
"KII KAHUKU 911, HI US",GHCND:USC00514500,0.01,0.3
"KILAUEA 0.3 SE, HI US",GHCND:US1HIKI0001,0,0
"KILAUEA 0.5 SE, HI US",GHCND:US1HIKI0006,0,0
"KILAUEA 1134, HI US",GHCND:USC00514561,0,0
